	d_Ninter(um)	t_Ninter(s)
162	114.49304442000886	5.4
163	114.3749602536511	5.433333333333334
164	114.32119847781134	5.466666666666667
165	114.0228068808411	5.5
166	113.71987563598023	5.533333333333333
167	113.7402413777535	5.566666666666666
168	113.40570322009397	5.6
169	113.55429894350254	5.633333333333333
170	113.66069710071746	5.666666666666667
171	113.00275781518229	5.7
172	113.5260974841568	5.733333333333333
173	113.4553017326372	5.766666666666667
174	113.46431910675528	5.8
175	113.37240282692368	5.833333333333333
176	113.05557768014673	5.866666666666666
177	113.35322476154917	5.9
178	113.25707936439052	5.933333333333334
179	113.46780762259156	5.966666666666667
180	113.14409990438763	6.0
181	112.96930245598239	6.033333333333333
182	113.42971335887006	6.066666666666666
183	113.53550959654264	6.1
184	113.4787925877653	6.133333333333333
185	113.39844957994801	6.166666666666667
